Data_Order,Year,Reef,Tube_Length,Residents_binary,Male,Group
1465,2017,SW,40,1,1,Male
1466,2017,SW,55,1,1,Male
1467,2017,SW,58,1,1,Male
1468,2017,SW,56,1,1,Male
1469,2017,SW,81,1,1,Male
1470,2017,SW,34,1,1,Male
1471,2017,SW,61,1,1,Male
1472,2017,SW,41,1,1,Male
1473,2017,SW,52,1,1,Male
1474,2017,SW,38,1,1,Male
1475,2017,SW,33,1,1,Male
1476,2017,SW,40,1,1,Male
1477,2017,SW,29,1,1,Male
1478,2017,SW,41,1,1,Male
1479,2017,SW,41,1,1,Male
1480,2017,SW,54,1,1,Male
1481,2017,SW,25,1,1,Male
1482,2017,SW,43,1,1,Male
1483,2017,SW,47,1,1,Male
1484,2017,SW,46,1,1,Male
1485,2017,SW,65,1,1,Male
1486,2017,SW,39,1,1,Male
1487,2017,SW,46,1,1,Male
1488,2017,SW,68,1,1,Male
1489,2017,SW,36,1,1,Male
1490,2017,SW,43,1,1,Male
1491,2017,SW,66,1,1,Male
1492,2017,SW,48,1,1,Male
1493,2017,SW,30,1,1,Male
1494,2017,SW,57,1,1,Male
1495,2017,CB,28,1,1,Male
1496,2017,CB,41,1,1,Male
1497,2017,CB,43,1,1,Male
1498,2017,CB,71,1,1,Male
1499,2017,CB,39,1,1,Male
1500,2017,CB,35,1,1,Male
1501,2017,CB,53,1,1,Male
1502,2017,CB,40,1,1,Male
1503,2017,CB,61,1,1,Male
1504,2017,CB,30,1,1,Male
1505,2017,CB,35,1,1,Male
1506,2017,CB,55,1,1,Male
1507,2017,CB,30,1,1,Male
1508,2017,CB,32,1,1,Male
1509,2017,CB,43,1,1,Male
1510,2017,CB,46,1,1,Male
1511,2017,CB,23,1,1,Male
1512,2017,CB,46,1,1,Male
1513,2017,CB,27,1,1,Male
1514,2017,CB,38,1,1,Male
1515,2017,CB,44,1,1,Male
1516,2017,CB,65,1,1,Male
1517,2017,CB,60,1,1,Male
1518,2017,CB,43,1,1,Male
1519,2017,CB,28,1,1,Male
1520,2017,CC,57,1,1,Male
1521,2017,CC,52,1,1,Male
1522,2017,CC,29,1,1,Male
1523,2017,CC,26,1,1,Male
1524,2017,CC,38,1,1,Male
1525,2017,CC,36,1,1,Male
1526,2017,CC,42,1,1,Male
1527,2017,CC,35,1,1,Male
1528,2017,CC,27,1,1,Male
1529,2017,CC,56,1,1,Male
1530,2017,CC,42,1,1,Male
1531,2017,CC,27,1,1,Male
1532,2017,CC,49,1,1,Male
1533,2017,CC,69,1,1,Male
1534,2017,CC,45,1,1,Male
1535,2017,CC,51,1,1,Male
1536,2017,CC,49,1,1,Male
1537,2017,CC,50,1,1,Male
1538,2017,CC,56,1,1,Male
1539,2017,CC,72,1,1,Male
1540,2017,CC,65,1,1,Male
1541,2017,CC,68,1,1,Male
1542,2017,CC,24,1,1,Male
1543,2017,CC,74,1,1,Male
1544,2017,CC,25,1,1,Male
1545,2017,CC,40,1,1,Male
1546,2017,CC,28,1,1,Male
1547,2017,CC,31,1,1,Male
1548,2017,CC,27,1,1,Male
1549,2017,SW,40,1,1,Male
1550,2017,SW,54,1,1,Male
1551,2017,SW,58,1,1,Male
1552,2017,SW,56,1,1,Male
1553,2017,SW,81,1,1,Male
1554,2017,SW,34,1,1,Male
1555,2017,SW,40,1,1,Male
1556,2017,SW,61,1,1,Male
1557,2017,SW,41,1,1,Male
1558,2017,SW,52,1,1,Male
1559,2017,SW,38,1,1,Male
1560,2017,SW,33,1,1,Male
1561,2017,SW,40,1,1,Male
1562,2017,SW,29,1,1,Male
1563,2017,SW,41,1,1,Male
1564,2017,SW,41,1,1,Male
1565,2017,SW,54,1,1,Male
1566,2017,SW,68,1,1,Male
1567,2017,SW,25,1,1,Male
1568,2017,SW,18,1,1,Male
1569,2017,SW,43,1,1,Male
1570,2017,SW,60,1,1,Male
1571,2017,SW,46,1,1,Male
1572,2017,SW,65,1,1,Male
1573,2017,SW,46,1,1,Male
1574,2017,SW,68,1,1,Male
1575,2017,SW,36,1,1,Male
1576,2017,SW,53,1,1,Male
1577,2017,SW,43,1,1,Male
1578,2017,SW,66,1,1,Male
1579,2017,SW,31,1,1,Male
1580,2017,SW,69,1,1,Male
1581,2017,SW,40,1,1,Male
1582,2017,SW,30,1,1,Male
1583,2017,SW,63,1,1,Male
1584,2017,SW,57,1,1,Male
1585,2017,SW,37,1,1,Male
1586,2017,SW,30,1,1,Male
1587,2017,CB,28,1,1,Male
1588,2017,CB,41,1,1,Male
1589,2017,CB,43,1,1,Male
1590,2017,CB,71,1,1,Male
1591,2017,CB,39,1,1,Male
1592,2017,CB,35,1,1,Male
1593,2017,CB,53,1,1,Male
1594,2017,CB,30,1,1,Male
1595,2017,CB,35,1,1,Male
1596,2017,CB,55,1,1,Male
1597,2017,CB,32,1,1,Male
1598,2017,CB,23,1,1,Male
1599,2017,CB,44,1,1,Male
1600,2017,CB,39,1,1,Male
1601,2017,CB,65,1,1,Male
1602,2017,CB,60,1,1,Male
1603,2017,CB,28,1,1,Male
1604,2017,CC,38,1,1,Male
1605,2017,CC,42,1,1,Male
1606,2017,CC,27,1,1,Male
1607,2017,CC,56,1,1,Male
1608,2017,CC,42,1,1,Male
1609,2017,CC,27,1,1,Male
1610,2017,CC,49,1,1,Male
1611,2017,CC,69,1,1,Male
1612,2017,CC,45,1,1,Male
1613,2017,CC,51,1,1,Male
1614,2017,CC,49,1,1,Male
1615,2017,CC,50,1,1,Male
1616,2017,CC,56,1,1,Male
1617,2017,CC,72,1,1,Male
1618,2017,CC,65,1,1,Male
1619,2017,CC,68,1,1,Male
1620,2017,CC,74,1,1,Male
1621,2017,CC,25,1,1,Male
1622,2017,CC,40,1,1,Male
1623,2017,CC,28,1,1,Male
1624,2017,CC,61,1,1,Male
1625,2017,CC,31,1,1,Male
1626,2017,CC,27,1,1,Male
1405,2015,SW,55,1,0,Resident
1406,2015,SW,49,1,0,Resident
1407,2015,SW,19,1,0,Resident
1408,2015,SW,29,1,0,Resident
1409,2015,SW,56,1,0,Resident
1410,2015,SW,40,1,0,Resident
1411,2015,SW,81,0,0,Unoccupied
1412,2015,SW,35,1,0,Resident
1413,2015,SW,63,1,0,Resident
1414,2015,SW,48,1,0,Resident
1415,2015,SW,42,1,1,Resident
1416,2015,SW,34,1,0,Resident
1417,2015,SW,72,1,0,Resident
1418,2015,SW,48,1,0,Resident
1419,2015,SW,26,1,0,Resident
1420,2015,SW,38,1,0,Resident
1421,2015,SW,79,1,0,Resident
1422,2015,SW,27,0,0,Unoccupied
1423,2015,SW,23,1,0,Resident
1424,2015,SW,54,1,0,Resident
1425,2015,SW,28,0,0,Unoccupied
1426,2015,SW,22,0,0,Unoccupied
1427,2015,SW,52,1,1,Resident
1428,2015,SW,37,1,0,Resident
1429,2015,SW,28,1,0,Resident
1430,2015,SW,80,0,0,Unoccupied
1431,2015,SW,46,1,0,Resident
1432,2015,SW,26,1,0,Resident
1433,2015,SW,53,1,0,Resident
1434,2015,SW,57,1,1,Resident
1435,2015,SW,47,1,0,Resident
1436,2015,SW,37,1,0,Resident
1437,2015,SW,40,1,0,Resident
1438,2015,SW,37,1,0,Resident
1439,2015,SW,17,0,0,Unoccupied
1440,2015,SW,13,0,0,Unoccupied
1441,2015,SW,46,1,0,Resident
1442,2015,SW,44,1,0,Resident
1443,2015,SW,39,1,0,Resident
1444,2015,SW,43,1,0,Resident
1445,2015,SW,30,0,0,Unoccupied
1446,2015,SW,49,0,0,Unoccupied
1447,2015,SW,56,0,0,Unoccupied
1448,2015,SW,32,0,0,Unoccupied
1449,2015,SW,17,0,0,Unoccupied
1450,2015,SW,25,0,0,Unoccupied
1451,2015,SW,20,1,0,Resident
1452,2015,SW,31,0,0,Unoccupied
1453,2015,SW,56,1,0,Resident
1454,2015,SW,13,0,0,Unoccupied
1455,2015,SW,20,0,0,Unoccupied
1456,2015,SW,27,1,0,Resident
1457,2015,SW,29,0,0,Unoccupied
1458,2015,SW,48,1,0,Resident
1459,2015,SW,50,0,0,Unoccupied
1460,2015,SW,36,1,0,Resident
1461,2015,SW,24,1,0,Resident
1462,2015,SW,14,0,0,Unoccupied
1463,2015,SW,32,1,0,Resident
1464,2015,SW,54,1,0,Resident
715,2011,CC,36,1,1,Resident
716,2011,CC,39,1,0,Resident
717,2011,CC,46,1,0,Resident
718,2011,CC,18,0,0,Unoccupied
719,2011,CC,22,1,0,Resident
720,2011,CC,30,1,0,Resident
721,2011,CC,18,0,0,Unoccupied
722,2011,CC,65,1,0,Resident
723,2011,CC,50,1,0,Resident
724,2011,CC,41,1,0,Resident
725,2011,CC,62,1,0,Resident
726,2011,CC,30,1,0,Resident
727,2011,CC,30,1,0,Resident
728,2011,CC,14,1,0,Resident
729,2011,CC,25,1,0,Resident
730,2011,CC,46,1,0,Resident
731,2011,CC,29,0,0,Unoccupied
732,2011,CC,36,1,1,Resident
733,2011,CC,32,1,0,Resident
734,2011,CC,29,1,0,Resident
735,2011,CC,21,0,0,Unoccupied
736,2011,CC,13,0,0,Unoccupied
737,2011,CC,33,1,0,Resident
738,2011,CC,49,1,0,Resident
739,2011,CC,28,1,0,Resident
740,2011,CC,33,0,0,Unoccupied
741,2011,CC,45,1,0,Resident
742,2011,CC,15,0,0,Unoccupied
743,2011,CC,26,1,1,Resident
744,2011,CC,54,1,0,Resident
745,2011,CC,17,1,0,Resident
746,2011,CC,23,1,0,Resident
747,2011,CC,18,1,0,Resident
748,2011,CC,12,1,0,Resident
749,2011,CC,37,1,0,Resident
750,2011,CC,13,0,0,Unoccupied
751,2011,CC,13,0,0,Unoccupied
752,2011,CC,14,1,0,Resident
753,2011,CC,27,1,0,Resident
754,2011,CC,26,1,0,Resident
755,2011,CC,16,0,0,Unoccupied
756,2011,CC,37,1,0,Resident
757,2011,CC,10,0,0,Unoccupied
758,2011,CC,15,0,0,Unoccupied
759,2011,CC,15,0,0,Unoccupied
760,2011,CC,59,1,0,Resident
761,2011,CC,30,0,0,Unoccupied
762,2011,CC,15,0,0,Unoccupied
763,2011,CC,12,0,0,Unoccupied
764,2011,CC,15,0,0,Unoccupied
765,2011,CC,16,0,0,Unoccupied
766,2011,CC,45,1,0,Resident
767,2011,CC,29,0,0,Unoccupied
768,2011,CC,17,0,0,Unoccupied
769,2011,CC,20,0,0,Unoccupied
770,2011,CC,10,0,0,Unoccupied
771,2011,CC,28,0,0,Unoccupied
772,2011,CC,32,1,0,Resident
773,2011,CC,18,0,0,Unoccupied
774,2011,CC,15,0,0,Unoccupied
775,2011,CC,13,1,0,Resident
776,2011,CC,23,0,0,Unoccupied
777,2011,CC,36,1,0,Resident
778,2011,CC,17,1,0,Resident
779,2011,CC,91,1,0,Resident
780,2011,CC,25,1,1,Resident
781,2011,CC,19,0,0,Unoccupied
782,2011,CC,24,1,0,Resident
783,2011,CC,19,0,0,Unoccupied
784,2011,CC,16,0,0,Unoccupied
785,2011,CC,21,0,0,Unoccupied
786,2011,CC,17,0,0,Unoccupied
787,2011,CC,21,0,0,Unoccupied
788,2011,CC,10,0,0,Unoccupied
789,2011,CC,11,0,0,Unoccupied
790,2011,CC,31,1,0,Resident
791,2011,CC,18,0,0,Unoccupied
792,2011,CC,27,1,0,Resident
793,2011,CC,35,1,0,Resident
794,2011,CC,12,1,0,Resident
795,2011,CC,31,1,0,Resident
796,2011,CC,18,0,0,Unoccupied
797,2011,CC,45,1,0,Resident
798,2011,CC,38,1,0,Resident
799,2011,CC,31,1,0,Resident
800,2011,CC,13,1,0,Resident
801,2011,CC,23,1,0,Resident
802,2011,CC,32,1,0,Resident
803,2011,CC,30,0,0,Unoccupied
804,2011,CC,26,0,0,Unoccupied
805,2011,CC,23,1,0,Resident
806,2011,CC,53,1,0,Resident
807,2011,CC,21,0,0,Unoccupied
808,2011,CC,24,0,0,Unoccupied
809,2011,CC,12,0,0,Unoccupied
810,2011,CC,12,1,0,Resident
811,2011,CC,35,1,0,Resident
812,2011,CC,12,0,0,Unoccupied
813,2011,CC,18,0,0,Unoccupied
814,2011,CC,22,1,0,Resident
815,2011,CC,38,1,0,Resident
816,2011,CC,12,0,0,Unoccupied
817,2011,CC,40,1,0,Resident
818,2011,CC,17,1,0,Resident
819,2011,CC,27,1,0,Resident
820,2011,CC,15,0,0,Unoccupied
821,2011,CC,19,0,0,Unoccupied
822,2011,CC,28,1,0,Resident
823,2011,CC,33,1,0,Resident
824,2011,CC,33,1,0,Resident
825,2011,CC,26,1,0,Resident
826,2011,CC,12,0,0,Unoccupied
827,2011,CC,18,1,0,Resident
828,2011,CC,42,1,0,Resident
